"Horario","Contagem"
"1727139046","94"
"1727079046","126"
"1726024845","66"
"1726726845","86"
"1727234445","72"
"1726783845","76"
"1726109145","114"
"1727240445","67"
"1725684645","379"
"1727157045","55"
"1725756645","146"
"1726548045","49"
"1726730145","76"
"1726644645","39"
"1726090245","80"
"1725718845","99"
"1726858845","51"
"1726872045","102"
"1726271145","172"
"1726028745","72"
"1727259945","36"
"1727191546","37"
"1726345246","75"
"1726030845","67"
"1726032345","65"
"1726296645","340"
"1725915945","74"
"1726275345","212"
"1726070745","35"
"1725939645","93"
"1726340146","77"
"1727149545","63"
"1726584345","26"
"1726650649","37"
"1725702945","191"
"1726478745","69"
"1726276845","226"
"1726641345","42"
"1726590045","26"
"1726645245","39"
"1726775145","48"
"1726874445","128"
"1725720645","91"
"1726609245","56"
"1726510845","39"
"1725668745","156"
"1725894946","44"
"1726088445","82"
"1726762845","28"
"1725963046","51"
"1726028445","70"
"1725880245","60"
"1726498246","43"
"1727232045","74"
"1726133145","44"
"1726419945","62"
"1726599645","34"
"1727112345","50"
"1726242045","43"
"1726060845","33"
"1725857745","136"
"1726002045","50"
"1726659045","31"
"1726460145","108"
"1726410345","65"
"1725908445","47"
"1726006245","74"
"1726548945","51"
"1725698745","240"
"1726156546","31"
"1726321245","90"
"1725941445","94"
"1725663945","126"
"1726290045","389"
"1726610145","56"
"1725672045","201"
"1726986645","277"
"1726467945","104"
"1726877446","144"
"1726199145","145"
"1726010745","78"
"1726560345","50"
"1725731145","63"
"1726775745","51"
"1726645545","38"
"1727267446","25"
"1726522545","60"
"1727096145","61"
"1726170345","44"
"1726305945","221"
"1726418445","57"
"1727025345","77"
"1727034345","89"
"1726136145","41"
"1726228545","66"
"1726114545","105"
"1725853845","160"
"1725990045","35"
"1726343745","77"
"1726445145","142"
"1725982545","29"
"1726590945","27"
"1727084146","99"
"1726833945","42"
"1727052045","179"
"1726182645","80"
"1726575645","25"
"1726624545","52"
"1726547745","50"
"1726690245","49"
"1726467646","106"
"1725916845","78"
"1725987945","32"
"1726442145","149"
"1726578945","24"
"1726241145","43"
"1726675845","30"
"1725992745","35"
"1726091745","80"
"1726992345","251"
"1725801645","84"
"1725699645","234"
"1726636245","47"
"1725771945","211"
"1726317345","103"
"1726935945","85"
"1725688245","365"
"1726446045","136"
"1726301145","304"
"1726713049","113"
"1726307145","201"
"1726020945","64"
"1726040445","54"
"1726878945","163"
"1726138845","39"
"1727270145","23"
"1726332045","59"
"1726447845","127"
"1725966345","47"
"1726893645","390"
"1726279845","252"
"1727220945","71"
"1725976245","33"
"1726118745","81"
"1725971445","38"
"1726496445","41"
"1726757445","28"
"1726449045","119"
"1726373745","191"
"1726456246","96"
"1727178045","35"
"1726834846","42"
"1726034445","59"
"1726014645","82"
"1725923745","109"
"1725683145","384"
"1726362045","115"
"1726206645","141"
"1726463445","106"
"1726887345","303"
"1726709745","103"
"1726725645","91"
"1725718545","100"
"1727158545","53"
"1726342245","83"
"1726439145","147"
"1726817745","107"
"1726960246","130"
"1726207846","135"
"1726164345","36"
"1726883745","212"
"1726987247","282"
"1726805145","139"
"1726167945","40"
"1726561545","47"
"1726920945","137"
"1725912345","61"
"1726125645","65"
"1727256945","37"
"1727243145","64"
"1726246545","46"
"1726389645","156"
"1726802745","131"
"1725680745","360"
"1725900945","48"
"1725828645","122"
"1726898146","384"
"1726048845","38"
"1726175445","51"
"1726943445","97"
"1727236545","69"
"1726455345","93"
"1726073445","38"
"1726683046","39"
"1726984545","275"
"1726410045","65"
"1726649445","38"
"1726699545","95"
"1725697545","256"
"1726335045","63"
"1726566645","28"
"1726172445","48"
"1725925546","114"
"1726831245","45"
"1726493745","44"
"1727012745","89"
"1725889545","50"
"1727029549","80"
"1727262945","31"
"1726273545","187"
"1726889745","353"
"1726194645","127"
"1725725745","66"
"1727207445","51"
"1726857345","49"
"1727125545","70"
"1726974646","200"
"1727245245","57"
"1725692445","332"
"1726140945","37"
"1726944345","105"
"1726302345","288"
"1726633245","55"
"1726824646","65"
"1725876045","81"
"1727231446","74"
"1726576845","25"
"1725669649","166"
"1725774949","204"
"1727144145","76"
"1726081245","48"
"1727030146","81"
"1726537845","60"
"1726453245","99"
"1727210445","60"
"1727169045","46"
"1726167045","42"
"1726807845","140"
"1727134545","87"
"1727217045","73"
"1726188645","100"
"1726649145","38"
"1725969945","39"
"1727143846","78"
"1726153845","34"
"1726543845","57"
"1725949845","90"
"1725996945","37"
"1726755645","27"
"1726936545","84"
"1726715445","124"
"1726427145","75"
"1726614945","59"
"1727179246","35"
"1727230845","73"
"1726392045","147"
"1726033845","61"
"1726603545","40"
"1726501845","36"
"1725957345","69"
"1726818045","107"
"1727055945","155"
"1726044645","44"
"1726641945","41"
"1726074045","38"
"1725791449","138"
"1726977045","221"
"1727060145","131"
"1727247945","55"
"1726932345","96"
"1726754145","28"
"1725770745","211"
"1725693045","332"
"1726078845","41"
"1726755345","27"
"1726418145","58"
"1727229345","77"
"1726625745","50"
"1726335945","64"
"1726972546","179"
"1726399245","121"
"1726489545","47"
"1726405245","78"
"1726333845","60"
"1727133945","87"
"1726446645","135"
"1727121645","64"
"1725918645","92"
"1726716945","124"
"1726158045","33"
"1727167545","45"
"1726269345","150"
"1726556445","56"
"1727035545","97"
"1726128945","56"
"1726690845","55"
"1726929645","106"
"1725745545","105"
"1727018745","80"
"1725670545","179"
"1727147445","74"
"1726251646","46"
"1726198546","148"
"1726178145","58"
"1726430445","80"
"1725686145","369"
"1726840545","41"
"1727194846","38"
"1725938145","93"
"1726433145","99"
"1725826845","115"
"1726527045","72"
"1727223345","69"
"1726011345","78"
"1726157145","31"
"1726767945","29"
"1725716745","108"
"1725707145","162"
"1727041845","148"
"1726071345","35"
"1727197545","36"
"1727063145","137"
"1726407646","74"
"1726192846","129"
"1726432845","97"
"1726422645","65"
"1726364445","121"
"1726627545","47"
"1726409145","69"
"1726425345","70"
"1726250745","46"
"1727170848","44"
"1725892845","47"
"1726963845","142"
"1726159845","36"
"1726999846","187"
"1727276745","23"
"1727076046","136"
"1726756245","28"
"1726278345","243"
"1726962645","138"
"1725814846","72"
"1726413045","62"
"1726491045","47"
"1726602345","38"
"1726848345","39"
"1727107846","48"
"1726408845","69"
"1726674345","30"
"1726555545","59"
"1726758045","28"
"1725704145","180"
"1725837045","178"
"1726010145","75"
"1726186545","94"
"1725974745","36"
"1725819646","77"
"1725791745","134"
"1727140246","85"
"1726852845","44"
"1726244145","48"
"1726137646","40"
"1726702545","108"
"1726039845","56"
"1725781245","204"
"1726660545","29"
"1727257545","37"
"1726431345","83"
"1725959145","61"
"1726125345","67"
"1725724845","72"
"1726116045","101"
"1725694845","304"
"1726845045","38"
"1726475745","80"
"1726236646","48"
"1725750645","122"
"1725832545","158"
"1726452945","98"
"1726317645","99"
"1726188945","102"
"1726287049","369"
"1725921345","107"
"1726482345","50"
"1726504545","36"
"1726682445","36"
"1726514745","44"
"1725751845","123"
"1726111545","112"
"1726822245","85"
"1726224645","76"
"1725701745","210"
"1725965145","44"
"1725866445","108"
"1726934446","93"
"1727064345","146"
"1725759045","156"
"1726462249","108"
"1726716045","124"
"1726551045","54"
"1725815145","72"
"1726964145","140"
"1726203646","161"
"1726027249","70"
"1726755945","27"
"1727187045","35"
"1726672245","30"
"1725739245","76"
"1726213846","132"
"1726401645","103"
"1727139945","87"
"1726749345","33"
"1727194545","38"
"1726678845","30"
"1727040045","135"
"1726819546","98"
"1726551345","54"
"1725860745","129"
"1726297845","328"
"1726607145","52"
"1727112945","52"
"1725736249","69"
"1725788445","165"
"1726937445","87"
"1726964448","141"
"1726106445","115"
"1726961145","132"
"1725969345","41"
"1726799145","117"
"1725985545","32"
"1726876245","140"
"1726021245","67"
"1725901845","48"
"1726239045","46"
"1726105545","107"
"1725822346","93"
"1726568145","26"
"1725720945","90"
"1726483245","49"
"1725775250","208"
"1726822545","84"
"1726352145","91"
"1726216846","112"
"1726023645","71"
"1726480846","59"
"1726685145","42"
"1727177745","35"
"1727193646","38"
"1726261845","95"
"1725760545","167"
"1725696045","274"
"1726881946","185"
"1726129845","51"
"1725823545","102"
"1725950145","89"
"1725876345","81"
"1726151745","33"
"1727148345","67"
"1726202145","158"
"1726702245","107"
"1725730845","61"
"1726852245","44"
"1727150446","62"
"1726327245","64"
"1726968945","167"
"1725919846","98"
"1725822045","92"
"1727193345","37"
"1726015845","81"
"1725802546","82"
"1725964545","45"
"1726397446","126"
"1726169745","44"
"1726093245","88"
"1727163348","52"
"1726835446","43"
"1726509345","37"
"1726278045","244"
"1725898845","50"
"1725696945","262"
"1726009245","78"
"1726013146","78"
"1726816545","114"
"1726252845","49"
"1726781445","66"
"1727065845","146"
"1726533645","66"
"1726791345","102"
"1726156845","31"
"1726092945","86"
"1727011546","100"
"1726315245","115"
"1726838745","39"
"1725898545","50"
"1726674045","30"
"1726902946","324"
"1725664245","130"
"1726852545","44"
"1726005645","70"
"1727189746","35"
"1726911046","220"
"1726872945","113"
"1725764145","188"
"1727002545","163"
"1727190646","37"
"1727265949","29"
"1726898446","384"
"1726879845","173"
"1726010445","75"
"1727248845","52"
"1726042245","47"
"1726661145","29"
"1726937746","90"
"1726139745","38"
"1726805745","139"
"1726193746","134"
"1725797446","107"
"1725879345","65"
"1725856245","152"
"1726506645","33"
"1726194345","129"
"1727271345","22"
"1726912845","208"
"1726344945","76"
"1726646145","38"
"1726551945","54"
"1726420845","64"
"1725955545","74"
"1725966045","47"
"1726359645","113"
"1726185645","88"
"1726135545","41"
"1726380345","190"
"1726728645","78"
"1726829749","47"
"1727074417","144"
"1727200245","37"
"1727270445","22"
"1727184046","35"
"1727043045","155"
"1726008646","78"
"1726454445","96"
"1726509945","38"
"1725968150","44"
"1725893745","46"
"1726420245","62"
"1725996046","34"
"1726842945","38"
"1726286745","371"
"1725675345","244"
"1725975645","34"
"1726724145","106"
"1726519845","57"
"1725947745","94"
"1727004045","147"
"1726269045","143"
"1727059845","133"
"1725994545","33"
"1725961845","53"
"1727272845","21"
"1726688446","43"
"1727142645","76"
"1727219449","70"
"1727272545","21"
"1726827345","50"
"1725968449","43"
"1725958845","63"
"1727094649","66"
"1725934245","91"
"1726195545","131"
"1726635345","48"
"1726741245","41"
"1726959645","125"
"1726710945","114"
"1725852045","168"
"1726528250","70"
"1726580745","24"
"1725920745","106"
"1725762045","179"
"1725661545","109"
"1726972245","178"
"1726321845","86"
"1726955145","138"
"1726248645","44"
"1726870545","98"
"1727040646","141"
"1726166745","43"
"1726792245","104"
"1727172946","43"
"1726242345","45"
"1726887645","314"
"1726738545","44"
"1726959345","123"
"1725710445","150"
"1726368045","146"
"1725726045","66"
"1726517445","49"
"1725702345","195"
"1726878045","153"
"1727138745","88"
"1725681645","376"
"1726919445","148"
"1725806446","74"
"1726655145","31"
"1727255445","38"
"1726686045","43"
"1726230045","60"
"1726476345","77"
"1726725345","96"
"1725787845","163"
"1727274945","21"
"1726180845","73"
"1726909245","244"
"1726663846","28"
"1725852345","167"
"1726183845","82"
"1727049045","177"
"1725848145","179"
"1725750945","123"
"1726397745","126"
"1726392645","140"
"1726172145","48"
"1725897646","47"
"1726120545","74"
"1725678645","322"
"1727203245","45"
"1725800146","90"
"1727054445","162"
"1727107545","46"
"1725752145","120"
"1727204745","45"
"1726751745","29"
"1726387545","174"
"1727254245","40"
"1726393846","139"
"1726918545","154"
"1726560945","47"
"1726639245","44"
"1726424145","69"
"1726593945","30"
"1726790145","98"
"1726665346","29"
"1726269945","159"
"1727013045","89"
"1726843845","37"
"1726248345","44"
"1726365045","119"
"1726884645","216"
"1725714645","118"
"1726989345","273"
"1726797551","117"
"1726209945","127"
"1726433445","101"
"1727101246","57"
"1725828945","125"
"1727025045","77"
"1726623345","54"
"1725916545","74"
"1727065545","146"
"1726578645","23"
"1726188049","98"
"1725789345","161"
"1727168445","45"
"1726570246","27"
"1726123845","71"
"1726976446","219"
"1726398345","127"
"1725936345","95"
"1727173545","40"
"1725999345","41"
"1726705245","109"
"1726776345","52"
"1726517145","47"
"1727232945","72"
"1725707445","158"
"1726771545","35"
"1726079445","44"
"1727202649","46"
"1726077945","39"
"1726110645","116"
"1726704045","110"
"1726627245","47"
"1726946445","115"
"1727183145","35"
"1727246745","58"
"1726790445","99"
"1727007645","113"
"1725721545","89"
"1726781146","63"
"1727133045","83"
"1726895745","384"
"1726839345","40"
"1725858345","136"
"1727098845","60"
"1725834645","167"
"1726875945","137"
"1726885545","243"
"1725898245","49"
"1726434045","107"
"1726375846","186"
"1726791945","103"
"1726806045","137"
"1726073145","38"
"1727170245","44"
"1726518645","51"
"1726636545","46"
"1726014945","78"
"1727020545","75"
"1727192745","37"
"1726337145","70"
"1726065645","33"
"1727165745","49"
"1725846045","210"
"1727213745","66"
"1727100946","57"
"1726526745","72"
"1725950745","87"
"1726640445","44"
"1727047845","177"
"1726765545","28"
"1726807545","136"
"1725929145","105"
"1726347645","76"
"1727064645","143"
"1726896045","387"
"1726762245","27"
"1726136445","40"
"1725665445","130"
"1726664145","28"
"1725914745","72"
"1725839445","199"
"1726797111","117"
"1725889845","49"
"1727168146","45"
"1726158945","33"
"1727003745","147"
"1725735945","69"
"1726142445","36"
"1726375545","184"
"1726538445","61"
"1726731350","70"
"1726952145","127"
"1727078145","131"
"1727193045","37"
"1726442745","153"
"1726443945","149"
"1726083046","55"
"1725999645","43"
"1725785445","173"
"1726621845","55"
"1726957846","126"
"1727047245","174"
"1726050345","36"
"1726772445","40"
"1726908945","245"
"1726736746","50"
"1726779045","59"
"1726875345","134"
"1727239245","67"
"1726394145","139"
"1726576245","25"
"1726304445","250"
"1726828245","46"
"1726871745","102"
"1725729350","59"
"1726916146","189"
"1727253945","39"
"1725686745","369"
"1726832145","45"
"1725825645","108"
"1726853745","45"
"1726060245","33"
"1725780645","210"
"1726585245","26"
"1726349445","82"
"1727235045","72"
"1727113545","51"
"1726694745","68"
"1726552545","55"
"1726878649","157"
"1727209545","57"
"1727057745","145"
"1726923346","123"
"1727031345","85"
"1726177845","59"
"1726793449","105"
"1726544745","55"
"1726396550","125"
"1726992945","249"
"1726361445","116"
"1727210745","60"
"1725936045","95"
"1726306845","205"
"1726290645","384"
"1725886845","50"
"1726977945","231"
"1727224245","75"
"1726427745","76"
"1725722145","86"
"1727081445","112"
"1727115345","52"
"1726128645","57"
"1726792545","107"
"1726324245","78"
"1726400745","105"
"1725856545","146"
"1726854045","45"
"1726235145","50"
"1725909945","51"
"1725843345","202"
"1727269246","24"
"1726411545","62"
"1726175745","53"
"1725858945","131"
"1725902746","47"
"1727118050","52"
"1727119846","60"
"1725927046","111"
"1726752345","28"
"1726995345","224"
"1726039245","56"
"1726003845","65"
"1726389045","156"
"1726097145","108"
"1726880145","172"
"1726133445","45"
"1727214345","68"
"1726394745","136"
"1725995745","33"
"1726999246","193"
"1726747845","35"
"1726845645","38"
"1725786945","164"
"1726451445","103"
"1726247446","47"
"1726195245","129"
"1726240545","42"
"1726141545","36"
"1726068045","32"
"1726065045","32"
"1725837645","173"
"1726514446","43"
"1726812345","128"
"1725935745","92"
"1726936845","85"
"1726388146","166"
"1726686345","42"
"1726422045","66"
"1726860645","58"
"1726612845","62"
"1727245545","58"
"1725733545","67"
"1726627845","47"
"1726738846","44"
"1726038346","55"
"1726704945","108"
"1726902045","341"
"1726896345","391"
"1726464645","107"
"1726438545","140"
"1726934145","93"
"1725795646","106"
"1726219546","94"
"1727022045","74"
"1726856745","49"
"1726618845","57"
"1726643146","38"
"1725958545","65"
"1726746946","35"
"1726023945","67"
"1726965346","142"
"1727071845","154"
"1725858645","133"
"1726764045","28"
"1725981945","29"
"1727172345","43"
"1726981545","252"
"1725795345","106"
"1726338045","73"
"1725669345","158"
"1726962045","138"
"1726980645","248"
"1726416049","59"
"1726139445","38"
"1725877545","69"
"1725870645","92"
"1726473345","88"
